Algorithm,Start Node,End Node,Iterations,Execution Time (s),Path Length (m)
Physarum Polycephalum,146084086,365589723,100,212.9937374000001,9776.2
Dijkstra,146084086,365589723,,0.013084499994874932,9776.2
Physarum Polycephalum,354588236,60285368,100,230.11856680001074,5156.34
Dijkstra,354588236,60285368,,0.00955269999394659,5156.34
Physarum Polycephalum,142636360,146084391,100,219.64609179999388,1961.2
Dijkstra,142636360,146084391,,0.002730899999733083,1961.2
Physarum Polycephalum,418893932,141822229,100,256.54835650000314,1894.16
Dijkstra,418893932,141822229,,0.0017520999972475693,1891.69
Physarum Polycephalum,2340401074,141760994,100,253.84455769999477,6742.86
Dijkstra,2340401074,141760994,,0.009866299995337613,6740.61
Physarum Polycephalum,30151575,2263171802,100,213.16087079999852,10825.69
Dijkstra,30151575,2263171802,,0.01119950000429526,10825.69
Physarum Polycephalum,1380535902,521187598,100,219.48342309999862,8259.54
Dijkstra,1380535902,521187598,,0.004134100003284402,8259.54
Physarum Polycephalum,244518788,496039849,100,219.34935209999094,5606.79
Dijkstra,244518788,496039849,,0.004616100006387569,5606.37
Physarum Polycephalum,141800327,26084516,100,219.45661530000507,3602.74
Dijkstra,141800327,26084516,,0.006823200004873797,3602.74
Physarum Polycephalum,141800186,252608948,100,214.6714382999926,9397.58
Dijkstra,141800186,252608948,,0.013232500001322478,9397.58
Physarum Polycephalum,141792988,2566766454,100,216.23352669998712,7144.38
Dijkstra,141792988,2566766454,,0.010577500012004748,7142.14
Physarum Polycephalum,344579286,146103680,100,221.3355475999997,7790.26
Dijkstra,344579286,146103680,,0.00281649999669753,7790.26
Physarum Polycephalum,141775379,31113826,100,213.6749489000067,3675.23
Dijkstra,141775379,31113826,,0.0079429000033997,3675.17
Physarum Polycephalum,362553849,142144561,100,196.73987230000785,7941.64
Dijkstra,362553849,142144561,,0.003168099996400997,7941.64
Physarum Polycephalum,142156031,3989095435,100,207.55010589999438,4569.64
Dijkstra,142156031,3989095435,,0.0075228999921819195,4569.64
Physarum Polycephalum,252609294,26025217,100,227.5485800000024,10160.67
Dijkstra,252609294,26025217,,0.01029559999005869,10147.7
Physarum Polycephalum,496028525,146139735,100,209.2849539000017,2444.18
Dijkstra,496028525,146139735,,0.00465230000554584,2444.18
Physarum Polycephalum,146111025,1163183409,100,252.33446329999424,5108.76
Dijkstra,146111025,1163183409,,0.00913040000887122,5108.76
Physarum Polycephalum,127748383,146114859,100,250.8333566999936,6498.77
Dijkstra,127748383,146114859,,0.009371899999678135,6498.71
Physarum Polycephalum,249445979,494911159,100,205.08790000001318,10542.31
Dijkstra,249445979,494911159,,0.012629400007426739,10540.07
Physarum Polycephalum,141862621,1620678456,100,208.2341224999982,1049.47
Dijkstra,141862621,1620678456,,0.0008108000038191676,1049.47
Physarum Polycephalum,1031869423,26912925,100,247.65019420000317,5582.52
Dijkstra,1031869423,26912925,,0.004529000012553297,5582.52
Physarum Polycephalum,251628110,26084587,100,227.2485250000027,8993.96
Dijkstra,251628110,26084587,,0.010900499997660518,8993.96
Physarum Polycephalum,141555772,146103723,100,227.68863509999937,4129.3
Dijkstra,141555772,146103723,,0.006778700000722893,4129.3
Physarum Polycephalum,256129707,142636332,100,238.11661140000797,5282.17
Dijkstra,256129707,142636332,,0.003903000004356727,5282.17
Physarum Polycephalum,344620253,207128714,100,217.77491989999544,4455.44
Dijkstra,344620253,207128714,,0.00872890000755433,4450.64
Physarum Polycephalum,2673079096,250298933,100,242.05695300000662,3493.52
Dijkstra,2673079096,250298933,,0.001596600006450899,3493.52
Physarum Polycephalum,1454267659,463199513,100,199.4067376000021,2749.09
Dijkstra,1454267659,463199513,,0.0038053000025684014,2749.09
Physarum Polycephalum,26232864,127748364,100,208.7401658000017,966.67
Dijkstra,26232864,127748364,,0.0003952000115532428,966.67
Physarum Polycephalum,142123966,344579408,100,213.7007125999953,7907.24
Dijkstra,142123966,344579408,,0.013392500011832453,7907.24
Physarum Polycephalum,260476341,5194172195,100,201.2288363000116,1300.9
Dijkstra,260476341,5194172195,,0.0015416999958688393,1300.9
Physarum Polycephalum,26084576,244518788,100,216.9422942999954,7146.81
Dijkstra,26084576,244518788,,0.010029200013377704,7144.01
Physarum Polycephalum,26080196,30151539,100,207.86760100000538,2793.07
Dijkstra,26080196,30151539,,0.004651199997169897,2793.07
Physarum Polycephalum,142124001,2927578897,100,207.30668510000396,7501.55
Dijkstra,142124001,2927578897,,0.012106299996958114,7501.55
Physarum Polycephalum,3295316450,1380537794,100,209.89246059999277,2935.84
Dijkstra,3295316450,1380537794,,0.007057200011331588,2935.84
Physarum Polycephalum,250059084,365590852,100,244.58885240000382,11217.08
Dijkstra,250059084,365590852,,0.015227600000798702,11217.08
Physarum Polycephalum,2749186144,338937009,100,203.71616809999978,10852.36
Dijkstra,2749186144,338937009,,0.00803019999875687,10852.36
Physarum Polycephalum,1944554014,2826973452,100,229.8074162999983,2118.78
Dijkstra,1944554014,2826973452,,0.0008171999943442643,2118.78
Physarum Polycephalum,142076445,26084914,100,203.8893676000007,3125.75
Dijkstra,142076445,26084914,,0.010381300002336502,3125.75
Physarum Polycephalum,1380535836,2936621964,100,207.41586330000428,5482.48
Dijkstra,1380535836,2936621964,,0.00255950000428129,5482.48
Physarum Polycephalum,322825209,26080216,100,205.20864979999897,11313.97
Dijkstra,322825209,26080216,,0.029530700005125254,11308.16
Physarum Polycephalum,138063232,250059311,100,279.3606349000038,8915.92
Dijkstra,138063232,250059311,,0.01162179998937063,8905.15
Physarum Polycephalum,1905909044,1251633909,100,272.8038438999938,3223.46
Dijkstra,1905909044,1251633909,,0.004684600004111417,3214.53
Physarum Polycephalum,267248117,140366795,100,288.1856084000028,3983.85
Dijkstra,267248117,140366795,,0.013024999992921948,3981.6
Physarum Polycephalum,5103570322,350125434,100,258.48744699999224,4058.12
Dijkstra,5103570322,350125434,,0.01052979999803938,4048.86
Physarum Polycephalum,166458518,141800564,100,273.9198755999969,7740.01
Dijkstra,166458518,141800564,,0.012802400015061721,7737.76
Physarum Polycephalum,503120176,1395426277,100,161.93288030000986,7480.03
Dijkstra,503120176,1395426277,,0.008187699975678697,7480.03
Physarum Polycephalum,26913016,344579283,100,168.805841399997,11206.18
Dijkstra,26913016,344579283,,0.012919900007545948,11206.18
Physarum Polycephalum,463191683,142124001,100,167.9739247999969,1182.44
Dijkstra,463191683,142124001,,0.001200700004119426,1182.44
Physarum Polycephalum,249443957,9673574,100,172.20601620001253,10071.35
Dijkstra,249443957,9673574,,0.009879000019282103,10069.1

